[2025-11-14T05:53:52.815+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T05:54:24.354+0000] {subprocess.py:93} INFO - Added amber-202001-0257
[2025-11-14T05:54:24.354+0000] {subprocess.py:93} INFO - Added amber-202001-0258
[2025-11-14T05:54:24.354+0000] {subprocess.py:93} INFO - Added amber-202001-0259
[2025-11-14T05:54:24.355+0000] {subprocess.py:93} INFO - Added amber-202001-0253
[2025-11-14T05:54:24.355+0000] {subprocess.py:93} INFO - Added amber-202001-0262
[2025-11-14T05:54:24.355+0000] {subprocess.py:93} INFO - Added amber-202001-0264
[2025-11-14T05:54:24.356+0000] {subprocess.py:93} INFO - Added amber-202001-0266
[2025-11-14T05:54:24.356+0000] {subprocess.py:93} INFO - Added amber-202001-0268
[2025-11-14T05:54:24.356+0000] {subprocess.py:93} INFO - Added amber-202001-0269
[2025-11-14T05:54:24.357+0000] {subprocess.py:93} INFO - Added amber-202001-0270
[2025-11-14T05:54:24.357+0000] {subprocess.py:93} INFO - Added amber-202001-0273
[2025-11-14T05:54:24.357+0000] {subprocess.py:93} INFO - Added amber-202001-0275
[2025-11-14T05:54:24.357+0000] {subprocess.py:93} INFO - Added amber-202001-0276
[2025-11-14T05:54:24.358+0000] {subprocess.py:93} INFO - Added amber-202001-0279
[2025-11-14T05:54:24.358+0000] {subprocess.py:93} INFO - Added amber-202001-0280
